landmark,frame,x,y
NOSE,0,609.00,321.09
NOSE,1,544.67,319.76
NOSE,2,545.16,319.96
NOSE,3,533.41,332.56
NOSE,4,528.52,325.69
NOSE,5,541.75,320.47
NOSE,6,583.84,301.00
NOSE,7,620.60,285.70
NOSE,8,621.60,285.33
NOSE,9,656.69,262.78
NOSE,10,690.76,252.07
NOSE,11,696.56,239.71
NOSE,12,690.69,225.64
NOSE,13,680.23,206.51
NOSE,14,679.48,207.13
NOSE,15,653.55,194.32
NOSE,16,624.89,180.20
NOSE,17,608.84,162.79
NOSE,18,579.72,167.80
NOSE,19,580.39,169.09
NOSE,20,580.15,168.83
NOSE,21,576.72,167.94
NOSE,22,576.69,169.95
NOSE,23,581.59,172.44
NOSE,24,600.22,176.83
NOSE,25,619.17,166.97
NOSE,26,619.97,166.31
NOSE,27,638.58,171.01
NOSE,28,663.78,177.95
NOSE,29,673.22,187.18
NOSE,30,675.97,192.42
NOSE,31,659.00,195.08
NOSE,32,658.75,195.06
NOSE,33,620.94,185.49
NOSE,34,552.09,199.42
NOSE,35,539.97,205.22
NOSE,36,533.79,221.51
NOSE,37,544.22,225.86
NOSE,38,544.85,225.88
NOSE,39,584.39,227.01
NOSE,40,633.20,167.04
NOSE,41,678.11,236.95
NOSE,42,705.28,247.66
NOSE,43,706.84,246.34
NOSE,44,702.92,250.51
NOSE,45,574.95,213.19
NOSE,46,585.33,234.20
NOSE,47,541.49,234.15
NOSE,48,512.92,251.87
NOSE,49,512.77,251.93
NOSE,50,516.84,249.78
NOSE,51,560.77,204.25
NOSE,52,599.59,205.19
NOSE,53,661.13,228.98
NOSE,54,672.89,217.40
NOSE,55,672.90,217.77
NOSE,56,667.00,198.16
NOSE,57,640.54,177.73
NOSE,58,601.26,162.95
NOSE,59,573.75,159.65
NOSE,60,578.33,158.87
NOSE,61,578.28,160.79
NOSE,62,601.78,158.59
NOSE,63,626.94,155.95
NOSE,64,653.00,147.14
NOSE,65,672.64,148.90
NOSE,66,669.67,153.72
NOSE,67,669.10,154.62
NOSE,68,624.64,157.45
NOSE,69,608.40,146.63
NOSE,70,555.96,152.55
NOSE,71,543.38,167.34
NOSE,72,554.65,157.11
NOSE,73,555.53,158.07
NOSE,74,569.39,155.63
NOSE,75,609.63,159.89
NOSE,76,614.57,148.94
NOSE,77,660.68,139.81
NOSE,78,659.79,139.07
NOSE,79,673.57,140.54
NOSE,80,664.03,140.70
NOSE,83,602.02,159.23
NOSE,84,593.95,157.18
NOSE,85,606.32,176.49
NOSE,86,610.93,170.67
NOSE,87,608.33,152.78
NOSE,89,662.21,172.39
NOSE,90,662.16,172.58
NOSE,91,653.39,182.70
NOSE,92,665.87,184.82
NOSE,93,673.90,175.96
NOSE,94,681.51,183.05
NOSE,95,650.73,180.37
NOSE,96,665.63,185.90
NOSE,97,666.63,175.94
NOSE,98,660.96,169.06
NOSE,99,650.91,175.80
NOSE,103,610.10,179.79
NOSE,104,599.63,202.49
NOSE,105,601.35,205.21
NOSE,106,598.84,188.59
NOSE,107,598.51,196.06
NOSE,108,601.27,193.81
NOSE,109,611.36,185.27
NOSE,111,688.17,197.84
NOSE,112,688.32,201.83
NOSE,113,688.08,202.04
NOSE,114,681.08,202.22
NOSE,115,680.47,210.96
NOSE,116,715.38,213.03
NOSE,117,728.65,195.83
NOSE,118,737.89,186.75
NOSE,119,738.43,184.42
NOSE,120,698.63,180.44
NOSE,121,703.54,186.98
NOSE,122,695.16,190.28
NOSE,125,643.31,194.83
NOSE,127,648.83,204.02
NOSE,128,641.08,212.88
NOSE,129,642.64,209.73
NOSE,130,628.71,199.73
NOSE,131,629.44,199.65
NOSE,132,625.90,193.11
NOSE,133,636.00,179.06
NOSE,134,653.83,170.44
NOSE,135,666.62,164.13
NOSE,136,665.12,167.47
NOSE,137,666.10,164.25
NOSE,138,668.50,160.83
NOSE,140,678.40,157.45
NOSE,141,682.70,147.75
NOSE,142,685.76,144.32
NOSE,143,685.69,144.45
NOSE,144,688.99,144.25
NOSE,145,693.57,147.13
